name,platform,socialMediaLink,dpLink ,industry,niche,niche2,contentType,geography ,price,subscribers
Advancible,Instagram,https://www.instagram.com/advancible/reels/,https://i.postimg.cc/KcfMrCvH/403989122-379883661058724-1039605861471639880-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Entertainment,Movies & TV clips,Memes - Entertainment,Shorts/Reels (adapted),South Asia,$350.00 ,2100000
Elevenstoic,Instagram,https://www.instagram.com/elevenstoic/reels/,https://i.postimg.cc/y8HC1p0H/441430786-2782770941873402-2274716164537452878-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Stoicism & Philosophy,Motivation - Clippers,Story,USA & CANADA,$750.00 ,1100000
Elevenstoic,Instagram,https://www.instagram.com/elevenstoic/reels/,https://i.postimg.cc/y8HC1p0H/441430786-2782770941873402-2274716164537452878-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Stoicism & Philosophy,Motivation - Clippers,Link in Bio,USA & CANADA,$750.00 ,1100000
Elevenstoic,Instagram,https://www.instagram.com/elevenstoic/reels/,https://i.postimg.cc/y8HC1p0H/441430786-2782770941873402-2274716164537452878-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Stoicism & Philosophy,Motivation - Clippers,Shorts/Reels (original),USA & CANADA,"$2,150.00 ",1100000
Elevenstoic,Instagram,https://www.instagram.com/elevenstoic/reels/,https://i.postimg.cc/y8HC1p0H/441430786-2782770941873402-2274716164537452878-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Stoicism & Philosophy,Motivation - Clippers,Collab Reel,USA & CANADA,"$1,450.00 ",1100000
Elevenstoic,Instagram,https://www.instagram.com/elevenstoic/reels/,https://i.postimg.cc/y8HC1p0H/441430786-2782770941873402-2274716164537452878-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Stoicism & Philosophy,Motivation - Clippers,Shorts/Reels (original),USA & CANADA,"$2,850.00 ",1100000
Elevenstoic,Instagram,https://www.instagram.com/elevenstoic/reels/,https://i.postimg.cc/y8HC1p0H/441430786-2782770941873402-2274716164537452878-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Stoicism & Philosophy,Motivation - Clippers,Collab Reel,USA & CANADA,$850.00 ,1100000
Foody Eating,Instagram,https://www.instagram.com/foodyeating/reels/,https://i.postimg.cc/76FJfyxt/103097103-545766159437510-2682439573870675842-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Fitness & Health,Health & Fitness - Clippers,Health & Fitness - Diet & Nutrition,Shorts/Reels (adapted),USA & CANADA,$450.00 ,2600000
Gym Fit 96,Instagram,https://www.instagram.com/gymfit96_/reels/,https://i.postimg.cc/Z5xn4dvm/472995589-8958575097553924-2643167284305932877-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Fitness & Health,Health & Fitness - Physical Fitness,Health & Fitness - Clippers,Shorts/Reels (adapted),USA & CANADA,$100.00 ,1100000
Gym Fit 96,Instagram,https://www.instagram.com/gymfit96_/reels/,https://i.postimg.cc/Z5xn4dvm/472995589-8958575097553924-2643167284305932877-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Fitness & Health,Health & Fitness - Physical Fitness,Health & Fitness - Clippers,Link in Bio,USA & CANADA,#VALUE!,1100000
Only Truths,Youtube,https://www.youtube.com/@OnlyTruths11/shorts,https://i.postimg.cc/5t6v6ymV/y-VP0t-Ky-NQ-Ks-DVJVo-Cq-W3Ya-AMO5Bz-LQcn-AJa-Gh-VIh-Z0u-M0Ud-The-D6ra-PZXb70u1t-Fjwe-Cc-T2-s160-c-k.jpg,Start-ups/Founder,Startup Business Explainer,Startup Clippers,Shorts/Reels (original),USA & CANADA,$150.00 ,82900
Science Explored,Instagram,https://www.instagram.com/scienceexplored/reels/,https://i.postimg.cc/nctnrLJs/412703144-307726708283521-7760084414193043382-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Fitness & Health,Startup Clippers,Startup Business Explainer,Shorts/Reels (adapted),USA & CANADA,$100.00 ,1000000
Success Verse_,Instagram,https://www.instagram.com/successverse_/reels/,https://i.postimg.cc/m2DWt15n/279080826-411266110429023-5500875972318947797-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Clippers,Motivational Speakers & Clips,Shorts/Reels (original),USA & CANADA,$250.00 ,2500000
Success Verse_,Instagram,https://www.instagram.com/successverse_/reels/,https://i.postimg.cc/m2DWt15n/279080826-411266110429023-5500875972318947797-n-jpg-efg-ey-J2ZW5jb2Rl-X3Rh-Zy-I6In-Byb2Zpb-GVfc-Glj.jpg,Motivation,Motivation - Clippers,Motivational Speakers & Clips,Story,USA & CANADA,$150.00 ,2500000
